,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,uri,duration_ms
43,0.777,0.902,-3.915,0.349,0.0905,0.275,0.462,129.985,spotify:track:5QArbhcHhpW48U4cK3Joj9,134844
44,0.607,0.7490000000000001,-4.497,0.0728,0.0064099999999999,0.2339999999999999,0.18,121.829,spotify:track:2Bkfvi3pCcwoJwnmd45OnA,126224
45,0.628,0.573,-8.161,0.0673,0.00362,0.0874,0.0387,115.503,spotify:track:2XLdbJRfl2UHHzIurEFgAA,132702
46,0.4679999999999999,0.325,-8.267000000000001,0.245,0.115,0.109,0.0387,191.186,spotify:track:2Iwf4sAnEgkuxxnJ61du8z,90645
47,0.512,0.44,-7.816,0.233,0.00386,0.233,0.132,207.992,spotify:track:04MKRNwoX7TqQkA0ZrtMbC,86805
48,0.504,0.48,-8.885,0.045,0.8320000000000001,0.1009999999999999,0.878,173.993,spotify:track:5DV8yoddFyjLVfRT6pfAht,176901
49,0.608,0.662,-8.474,0.0338,0.0246,0.0409,0.0637,117.031,spotify:track:1XKlzwkRZmyrz2OjVqNIyl,98482
50,0.7829999999999999,0.684,-7.435,0.0358,0.00873,0.222,0.173,141.037,spotify:track:78SOPBLZeBjDQ9NVTePOPE,117447
51,0.6679999999999999,0.479,-7.321000000000001,0.0436,0.0612,0.12,0.102,162.12,spotify:track:1NJel5c5LSc9Ac7UAeoJtp,128888
52,0.528,0.617,-6.122999999999999,0.0657,0.2019999999999999,0.146,0.0356,119.047,spotify:track:18hIrODUziu3KyUxeDKlcq,199664
53,0.7959999999999999,0.7559999999999999,-2.244,0.0572,0.0059,0.128,0.0292,120.01,spotify:track:04xhIz4DiBGDECn7kIFodv,112000
54,0.299,0.381,-6.9510000000000005,0.038,0.445,0.0932,0.0392,136.46200000000002,spotify:track:6Q1LtmZPFRGNZbH6VdarBQ,234000
55,0.644,0.64,-7.877000000000001,0.0688,0.00329,0.146,0.175,217.888,spotify:track:3uvKXKQxcmjPT7letWh3Pf,125048
56,0.473,0.843,-5.981,0.225,0.00345,0.102,0.24,143.29399999999998,spotify:track:1K86gziny1mnNIisKBqzhH,183536
57,0.471,0.618,-9.965,0.108,0.0219,0.16,0.0392,110.337,spotify:track:7yvTs8trSYMtNNisA0nT73,125500
58,0.665,0.446,-14.845,0.172,0.069,0.3229999999999999,0.1169999999999999,115.282,spotify:track:3Pk6O7DndRfH1q6UFsCaWm,156048
59,0.812,0.7070000000000001,-6.815,0.0752,0.236,0.5870000000000001,0.248,219.984,spotify:track:5mPUo1HP5K4H6hepYHqbZx,175203
60,0.262,0.897,-2.712,0.3979999999999999,0.0237,0.11,0.253,199.651,spotify:track:2x7mBK5ozd9hwneRKMVpkD,153104
61,0.5710000000000001,0.865,-4.99,0.0397,0.0042,0.0906,0.177,150.017,spotify:track:3kBa1eXqkSvfCLmG8VqQ10,166426
62,0.753,0.679,-7.0920000000000005,0.0349,0.324,0.423,0.19,211.954,spotify:track:5XAPpyIoYF3QXP34Hv8Pvx,145078
63,0.935,0.429,-6.697,0.118,0.0308,0.102,0.0769,139.987,spotify:track:4yORBk6ZyYsJpnJchyZevc,123481
64,0.726,0.634,-6.843999999999999,0.0792,0.5529999999999999,0.0916,0.318,211.95,spotify:track:3NSgQjYihV40pOmn8AQevz,126850
65,0.8540000000000001,0.98,-1.181,0.0569,0.263,0.5479999999999999,0.255,220.002,spotify:track:3SCVHoGHV7GL0hmqcOIpqh,122000
66,0.526,0.62,-7.244,0.281,0.067,0.139,0.187,112.027,spotify:track:70nmZhHZLNVYWP4NON41Zw,205766
67,0.84,0.444,-10.58,0.211,0.532,0.0623,0.376,131.999,spotify:track:4owRIrDAJPqNWGf2SGC3H8,145636
68,0.818,0.5760000000000001,-7.587999999999999,0.162,0.29,0.105,0.285,192.378,spotify:track:6yK9kwo8cBoVRNOylq0yNc,150187
69,0.8809999999999999,0.903,-0.955,0.0813,0.267,0.109,0.272,119.994,spotify:track:3bNCifwGPjqeeqzpjrFG9k,131500
70,0.77,0.623,-7.025,0.0569,0.0601,0.1169999999999999,0.0947,134.974,spotify:track:599cYawsBthDvauPoXNr7U,199100
71,0.8,0.505,-6.54,0.115,0.0206,0.198,0.179,114.972,spotify:track:2I12vOWeJU5ayhr6ha6esf,128418
72,0.7809999999999999,0.493,-7.649,0.0522,0.0717,0.123,0.0383,212.022,spotify:track:0kCfKToIFZFQQAaSQHcjRL,133747
73,0.8170000000000001,0.911,-2.153,0.0455,0.187,0.42,0.34,119.989,spotify:track:4XQDrALwqj4J1YPqg58sDV,116000
74,0.8140000000000001,0.74,-5.438,0.0947,0.11,0.12,0.191,120.098,spotify:track:0AQXOzjEG2ofwGrDyqUY7H,183937
75,0.6779999999999999,0.77,-3.2060000000000004,0.145,0.125,0.184,0.284,150.018,spotify:track:3cQPyVlnrmmWU5fQJxl0q9,133903
76,0.755,0.7879999999999999,-4.572,0.216,0.0355,0.311,0.465,140.055,spotify:track:2wzpr7E2FkOISAbYQOtPmZ,137195
77,0.81,0.524,-6.705,0.0441,0.0444,0.105,0.155,122.016,spotify:track:7EnGzsqQi0bAVGQw8i4WIQ,118236
78,0.8059999999999999,0.7020000000000001,-6.643,0.0688,0.2739999999999999,0.3229999999999999,0.182,211.95,spotify:track:3mRBSk7h2Vr0D0yott8VhC,126874
79,0.89,0.74,-4.303,0.223,0.318,0.244,0.436,130.012,spotify:track:7ae2GdeXS5Tvo5RvdNwgaz,112500
80,0.909,0.573,-6.856,0.181,0.0332,0.657,0.392,144.946,spotify:track:7tUXZgLbOCvRJ9FBlairoU,134271
81,0.735,0.933,-2.151,0.0788,0.0185,0.1,0.1159999999999999,129.988,spotify:track:7m1oRKYiZCfuKXRMWGefWR,281538
82,0.698,0.987,-0.7340000000000001,0.1669999999999999,0.0226,0.3429999999999999,0.266,129.763,spotify:track:1AADsJz09BwnKW4yYFQwXU,92308
83,0.5770000000000001,0.6920000000000001,-5.96,0.64,0.372,0.0989,0.0658,144.702,spotify:track:5zjdL4aLh3D3wOKeRkZSL6,122483
84,0.8270000000000001,0.7709999999999999,-4.374,0.318,0.0456,0.109,0.545,149.86700000000002,spotify:track:1e0HLyx0SlmAhwTm2un9ft,166452
85,0.68,0.7070000000000001,-5.132999999999999,0.127,0.00914,0.0969999999999999,0.228,159.941,spotify:track:0SbKWYPENsANEIIgnCK45e,149804
86,0.721,0.899,-4.07,0.057,0.0116,0.126,0.0385,142.018,spotify:track:1k31A67B0r2PDytoPR283x,141972
87,0.777,0.812,-5.146,0.0447,0.26,0.185,0.452,139.961,spotify:track:7vNYfMAh3bvHGmRxve1YAg,140613
88,0.579,0.813,-4.573,0.367,0.0605,0.365,0.312,215.218,spotify:track:4Ao4XHlqBTKsCil8R6e8fD,135822
