,danceability,energy,loudness,mode,speechiness,acousticness,liveness,valence,tempo,duration_ms
69,0.8809999999999999,0.903,-0.955,1,0.0813,0.267,0.109,0.272,119.994,131500
70,0.77,0.623,-7.025,0,0.0569,0.0601,0.117,0.0947,134.974,199100
71,0.8,0.505,-6.54,1,0.115,0.0206,0.198,0.179,114.972,128418
72,0.7809999999999999,0.493,-7.649,1,0.0522,0.0717,0.123,0.0383,212.022,133747
73,0.8170000000000001,0.911,-2.153,1,0.0455,0.187,0.42,0.34,119.989,116000
74,0.8140000000000001,0.74,-5.438,0,0.0947,0.11,0.12,0.191,120.098,183937
75,0.6779999999999999,0.77,-3.2060000000000004,0,0.145,0.125,0.184,0.284,150.018,133903
76,0.755,0.7879999999999999,-4.572,1,0.21600000000000005,0.0355,0.311,0.465,140.055,137195
77,0.81,0.524,-6.705,1,0.0441,0.0444,0.105,0.155,122.016,118236
78,0.8059999999999999,0.7020000000000001,-6.643,1,0.0688,0.274,0.32299999999999995,0.182,211.95,126874
79,0.89,0.74,-4.303,1,0.223,0.318,0.244,0.436,130.012,112500
80,0.909,0.573,-6.856,1,0.181,0.0332,0.657,0.392,144.946,134271
81,0.735,0.933,-2.151,0,0.0788,0.0185,0.1,0.116,129.988,281538
82,0.698,0.987,-0.7340000000000001,0,0.16699999999999998,0.0226,0.343,0.266,129.763,92308
83,0.5770000000000001,0.6920000000000001,-5.96,1,0.64,0.3720000000000001,0.0989,0.0658,144.702,122483
84,0.8270000000000001,0.7709999999999999,-4.374,1,0.318,0.0456,0.109,0.545,149.86700000000005,166452
85,0.68,0.7070000000000001,-5.132999999999999,1,0.127,0.00914,0.097,0.228,159.941,149804
86,0.721,0.899,-4.07,0,0.057,0.0116,0.126,0.0385,142.018,141972
87,0.777,0.812,-5.146,1,0.0447,0.26,0.185,0.452,139.961,140613
88,0.579,0.813,-4.573,1,0.3670000000000001,0.0605,0.365,0.312,215.218,135822
89,0.86,0.524,-4.698,1,0.0729,0.578,0.0993,0.142,114.946,148939
90,0.425,0.508,-10.01,1,0.13,0.0639,0.244,0.0679,130.83700000000002,142232
91,0.494,0.695,-10.566,1,0.7509999999999999,0.00421,0.223,0.0722,155.01,197077
92,0.649,0.772,-5.332000000000002,0,0.133,0.7170000000000001,0.103,0.0294,219.946,219749
93,0.8140000000000001,0.758,-6.5120000000000005,1,0.384,0.185,0.204,0.82,159.94,131590
94,0.37,0.856,-5.489,1,0.401,0.403,0.18,0.0755,158.764,236301
95,0.888,0.906,-4.0280000000000005,1,0.365,0.221,0.266,0.477,125.033,137822
96,0.816,0.62,-7.8039999999999985,1,0.51,0.255,0.251,0.265,144.981,184733
97,0.713,0.8390000000000001,-6.377000000000002,0,0.349,0.00417,0.106,0.0369,150.004,149230
98,0.449,0.645,-4.784,0,0.0366,0.00956,0.107,0.0589,219.692,207442
99,0.923,0.94,-5.8279999999999985,1,0.16,0.0204,0.136,0.8390000000000001,139.804,187260
100,0.8320000000000001,0.802,-4.039,0,0.22,0.343,0.139,0.17800000000000002,220.012,166798
101,0.569,0.7120000000000001,-4.9110000000000005,0,0.34700000000000003,0.378,0.14400000000000002,0.0711,157.231,145451
102,0.476,0.825,-3.941,1,0.0379,7.44e-05,0.115,0.43,168.298,111491
103,0.403,0.696,-5.956,0,0.236,0.00114,0.0722,0.0696,179.998,272562
104,0.836,0.706,-4.065,1,0.0497,5.19e-05,0.0927,0.0374,120.045,76042
105,0.818,0.7090000000000001,-4.425,1,0.269,0.00511,0.259,0.452,120.058,136777
106,0.8490000000000001,0.522,-5.5139999999999985,1,0.151,0.0019,0.209,0.0582,119.975,138266
107,0.703,0.536,-4.323,1,0.297,0.000883,0.139,0.161,180.048,107050
108,0.708,0.298,-16.427,1,0.0578,0.698,0.304,0.118,124.863,139375
109,0.852,0.721,-7.4,0,0.0751,0.354,0.11,0.8029999999999999,136.07,140187
110,0.6940000000000001,0.514,-11.063,0,0.0449,0.0336,0.115,0.136,120.011,142000
111,0.595,0.333,-13.235,1,0.0416,0.474,0.0998,0.105,124.993,123167
112,0.721,0.8029999999999999,-9.115,0,0.0822,0.557,0.109,0.175,161.502,178167
113,0.846,0.616,-7.82,1,0.0669,0.0129,0.101,0.133,125.975,106250
114,0.76,0.5760000000000001,-8.238,1,0.0491,0.11,0.194,0.184,218.082,140750
115,0.529,0.8170000000000001,-10.039,0,0.0945,0.0198,0.17800000000000002,0.181,120.01,128261
116,0.5589999999999999,0.514,-8.78,1,0.0523,0.0203,0.0982,0.0911,139.614,123500
117,0.965,0.59,-8.639,0,0.0619,0.607,0.0917,0.462,129.004,144735
118,0.596,0.8809999999999999,-4.566,0,0.269,0.00319,0.0798,0.235,172.139,67030
119,0.7120000000000001,0.982,-2.386,1,0.289,0.0127,0.147,0.5489999999999999,208.096,115383
120,0.6970000000000001,0.873,-3.189,1,0.206,0.13699999999999998,0.22,0.545,132.999,151667
121,0.841,0.516,-12.32,1,0.28,0.0892,0.0781,0.26,120.007,152137
122,0.7390000000000001,0.463,-5.4510000000000005,0,0.293,0.00673,0.423,0.0457,200.092,175386
123,0.865,0.8909999999999999,-5.6179999999999986,0,0.265,0.0866,0.0842,0.6709999999999999,200.074,125048
124,0.775,0.634,-7.535,1,0.105,0.17600000000000002,0.0628,0.521,200.064,184189
125,0.7390000000000001,0.498,-7.447999999999999,1,0.371,0.136,0.0939,0.231,139.86700000000002,164807
126,0.725,0.578,-8.311,0,0.0864,0.0259,0.387,0.0595,129.961,133068
127,0.63,0.8759999999999999,-4.871,0,0.189,0.0166,0.223,0.256,210.134,150831
128,0.7040000000000001,0.838,-4.042,1,0.29,0.0854,0.102,0.348,119.866,218201
129,0.735,0.8109999999999999,-3.735,1,0.0601,0.11,0.528,0.42,207.852,100807
130,0.8640000000000001,0.727,-5.996,1,0.1,0.0229,0.295,0.599,119.987,159242
131,0.48,0.984,-0.726,1,0.264,0.0484,0.472,0.393,139.958,92918
132,0.726,0.823,-4.666,1,0.115,0.00353,0.7070000000000001,0.156,129.99200000000002,110793
133,0.755,0.765,-7.256,0,0.28800000000000003,0.0272,0.565,0.401,219.89,144018
134,0.8809999999999999,0.445,-9.83,1,0.107,0.00209,0.114,0.0379,124.972,138240
135,0.8490000000000001,0.98,-0.964,1,0.0575,0.254,0.551,0.295,219.988,122182
136,0.602,0.762,-6.149,0,0.0347,0.0498,0.121,0.112,184.04,159987
137,0.924,0.5429999999999999,-6.612,1,0.0854,0.4320000000000001,0.11,0.104,199.99400000000003,183159
138,0.919,0.493,-8.81,1,0.0613,0.14,0.122,0.159,216.152,126768
139,0.848,0.6629999999999999,-5.606,0,0.245,0.523,0.108,0.333,133.993,255413
140,0.475,0.7879999999999999,-4.851,0,0.342,0.231,0.128,0.26,206.056,237101
141,0.762,0.41,-11.979,1,0.0551,0.278,0.157,0.0813,200.094,271404
142,0.789,0.623,-8.337,0,0.138,0.242,0.0835,0.6779999999999999,203.982,151629
143,0.7559999999999999,0.794,-4.539,1,0.208,0.0362,0.314,0.474,140.036,137195
144,0.799,0.546,-6.081,1,0.32299999999999995,0.185,0.0836,0.736,150.00799999999995,182647
145,0.931,0.273,-11.723,0,0.17600000000000002,0.00946,0.13699999999999998,0.0603,119.956,150100
146,0.898,0.547,-5.707000000000002,0,0.313,0.484,0.37,0.763,200.02,198133
147,0.835,0.5589999999999999,-5.617000000000001,1,0.0327,0.00177,0.116,0.267,133.05200000000002,144812
148,0.716,0.745,-6.374,1,0.318,0.21600000000000005,0.103,0.0971,208.054,168883
149,0.723,0.459,-10.259,1,0.239,0.00096,0.11,0.313,139.972,197143
150,0.8490000000000001,0.736,-6.6610000000000005,1,0.147,0.00493,0.0757,0.271,147.904,173479
151,0.762,0.509,-7.354,1,0.0631,0.14800000000000002,0.155,0.0671,120.054,175465
152,0.7559999999999999,0.74,-4.5310000000000015,1,0.0563,0.00834,0.6459999999999999,0.308,123.049,171782
153,0.727,0.846,-3.555,1,0.194,0.0245,0.14300000000000002,0.529,131.984,145568
